alpha,cl,cd
-180,0,0.00605
-179,-0.123,0.00667
-178,-0.246,0.00705
-177,-0.368,0.00748
-176,-0.49,0.00811
-175,-0.61,0.00899
-174,-0.728,0.00997
-173,-0.842,0.00795
-172,-0.953,0.01205
-171,-1.06,0.01349
-170,-1.159,0.01522
-169,-1.247,0.01718
-168,-1.325,0.01933
-167,-1.39,0.02177
-166,-1.443,0.0246
-165,-1.482,0.02761
-164,-1.507,0.0313
-163,-1.52,0.03546
-162,-1.52,0.04017
-161,-1.509,0.04514
-160,-1.487,0.05059
-159,-1.457,0.05694
-158,-1.42,0.0645
-157,-1.378,0.07231
-156,-1.331,0.07988
-155,-1.282,0.08683
-154,-1.232,0.09651
-153,-1.18,0.10736
-152,-1.129,0.1163
-151,-1.079,0.12726
-150,-1.03,0.13585
-149,-0.982,0.14713
-148,-0.932,0.16435
-147,-0.88,0.17536
-146,-0.83,0.18958
-145,-0.784,0.20265
-144,-0.741,0.21914
-143,-0.7,0.24226
-142,-0.663,0.24691
-141,-0.628,0.26895
-140,-0.595,0.27908
-139,-0.565,0.29544
-138,-0.537,0.31045
-137,-0.511,0.34129
-136,-0.487,0.35577
-135,-0.464,0.37488
-134,-0.399,0.53582
-133,-0.382,0.58719
-132,-0.365,0.59508
-131,-0.35,0.65423
-130,-0.336,0.66111
-129,-0.323,0.70623
-128,-0.311,0.71772
-127,-0.299,0.72483
-126,-0.289,0.80179
-125,-0.279,0.80835
-124,-0.269,0.82913
-123,-0.261,0.84077
-122,-0.252,0.86361
-121,-0.245,0.87389
-120,-0.238,0.89383
-119,-0.231,0.9149
-118,-0.225,0.9376
-117,-0.219,0.94779
-116,-0.214,0.97157
-115,-0.208,0.99682
-114,-0.204,1.02407
-113,-0.199,1.05413
-112,-0.195,1.08642
-111,-0.191,1.0974
-110,-0.188,1.13214
-109,-0.184,1.16987
-108,-0.181,1.09249
-107,-0.178,1.12693
-106,-0.181,1.06852
-105,-0.178,1.12182
-104,-0.176,1.04026
-103,-0.174,1.03882
-102,-0.173,1.02509
-101,-0.171,1.0148
-100,-0.17,1.00737
-99,-0.169,1.09376
-98,-0.167,1.09429
-97,-0.167,1.09932
-96,-0.166,1.10921
-95,-0.165,0.9933
-94,-0.165,1.00654
-93,-0.164,1.02506
-92,-0.164,1.04913
-91,-0.164,1.08084
-90,-0.14,1.85295
-89,-0.14,1.81344
-88,-0.141,1.90419
-87,-0.141,1.87079
-86,-0.141,1.84428
-85,-0.142,1.82298
-84,-0.143,1.80582
-83,-0.143,1.91311
-82,-0.144,1.89868
-81,-0.145,1.8884
-80,-0.147,1.88205
-79,-0.148,1.87957
-78,-0.15,1.88112
-77,-0.151,1.79951
-76,-0.153,1.7884
-75,-0.155,1.75073
-74,-0.158,1.81347
-73,-0.16,1.77288
-72,-0.163,1.73051
-71,-0.165,1.68966
-70,-0.168,1.7571
-69,-0.172,1.71205
-68,-0.175,1.66961
-67,-0.179,1.64782
-66,-0.183,1.60735
-65,-0.187,1.56965
-64,-0.192,1.53366
-63,-0.196,1.49915
-62,-0.202,1.46586
-61,-0.207,1.43378
-60,-0.213,1.41143
-59,-0.22,1.38053
-58,-0.226,1.35637
-57,-0.234,1.32345
-56,-0.242,1.30692
-55,-0.25,1.27508
-54,-0.259,1.2546
-53,-0.268,1.17194
-52,-0.279,1.14927
-51,-0.29,1.1278
-50,-0.302,1.10435
-49,-0.314,1.04648
-48,-0.328,0.97637
-47,-0.343,0.95319
-46,-0.358,0.88901
-45,-0.376,0.86476
-44,-0.394,0.81166
-43,-0.414,0.7786
-42,-0.435,0.72869
-41,-0.458,0.69817
-40,-0.483,0.66637
-39,-0.509,0.64019
-38,-0.538,0.59983
-37,-0.568,0.58218
-36,-0.601,0.5421
-35,-0.637,0.51654
-34,-0.674,0.48158
-33,-0.715,0.45451
-32,-0.758,0.42616
-31,-0.799,0.39841
-30,-0.838,0.37598
-29,-0.879,0.35022
-28,-0.921,0.32597
-27,-0.964,0.30126
-26,-1.007,0.27763
-25,-1.05,0.25532
-24,-1.092,0.23566
-23,-1.134,0.21413
-22,-1.172,0.19291
-21,-1.209,0.17121
-20,-1.243,0.15089
-19,-1.272,0.12978
-18,-1.299,0.10866
-17,-1.32,0.08874
-16,-1.338,0.06865
-15,-1.348,0.05213
-14,-1.341,0.04083
-13,-1.321,0.03249
-12,-1.28,0.02745
-11,-1.219,0.02412
-10,-1.143,0.02174
-9,-1.05,0.01983
-8,-0.948,0.01831
-7,-0.84,0.01421
-6,-0.728,0.01629
-5,-0.61,0.01523
-4,-0.49,0.01442
-3,-0.368,0.0138
-2,-0.246,0.01338
-1,-0.123,0.01297
0,0,0.01235
1,0.123,0.01297
2,0.246,0.01335
3,0.368,0.01377
4,0.49,0.0144
5,0.61,0.01526
6,0.728,0.01623
7,0.84,0.01422
8,0.948,0.01831
9,1.05,0.01979
10,1.143,0.02168
11,1.22,0.02404
12,1.28,0.02743
13,1.322,0.03231
14,1.342,0.04076
15,1.348,0.0522
16,1.338,0.06894
17,1.319,0.08915
18,1.298,0.10914
19,1.272,0.13027
20,1.242,0.1513
21,1.209,0.17172
22,1.172,0.1936
23,1.134,0.21464
24,1.092,0.23632
25,1.05,0.25535
26,1.007,0.27777
27,0.964,0.30152
28,0.921,0.32643
29,0.879,0.35087
30,0.838,0.37663
31,0.799,0.40276
32,0.758,0.43133
33,0.715,0.45287
34,0.674,0.48005
35,0.637,0.51429
36,0.601,0.53984
37,0.568,0.5793
38,0.538,0.59689
39,0.509,0.64898
40,0.483,0.66204
41,0.458,0.69339
42,0.435,0.72353
43,0.414,0.77147
44,0.394,0.82111
45,0.376,0.87051
46,0.358,0.89815
47,0.343,0.96392
48,0.328,0.9862
49,0.314,1.05797
50,0.302,1.0814
51,0.29,1.13955
52,0.279,1.15999
53,0.268,1.18223
54,0.259,1.20586
55,0.25,1.29239
56,0.242,1.32484
57,0.234,1.34755
58,0.226,1.37286
59,0.22,1.40352
60,0.213,1.4345
61,0.207,1.46653
62,0.202,1.48716
63,0.196,1.52041
64,0.192,1.55493
65,0.187,1.591
66,0.183,1.62887
67,0.179,1.66966
68,0.175,1.68989
69,0.172,1.73262
70,0.168,1.66665
71,0.165,1.70575
72,0.163,1.74717
73,0.16,1.79138
74,0.158,1.83902
75,0.155,1.77211
76,0.153,1.81023
77,0.151,1.82111
78,0.15,1.90682
79,0.148,1.90798
80,0.147,1.91021
81,0.145,1.91504
82,0.144,1.92326
83,0.143,1.80868
84,0.143,1.82035
85,0.142,1.83535
86,0.141,1.85423
87,0.141,1.87773
88,0.141,1.90689
89,0.14,1.81027
90,0.164,0.96523
91,0.164,1.07041
92,0.164,1.04178
93,0.164,1.01789
94,0.165,0.99833
95,0.165,1.11132
96,0.166,1.09377
97,0.167,1.08116
98,0.167,1.0737
99,0.169,1.07062
100,0.17,1.07173
101,0.171,1.11226
102,0.173,1.12205
103,0.174,1.01164
104,0.176,1.02105
105,0.179,1.09883
106,0.181,1.06664
107,0.178,1.12507
108,0.181,1.19015
109,0.184,1.1502
110,0.188,1.113
111,0.191,1.07857
112,0.195,1.06609
113,0.199,1.03405
114,0.204,1.00417
115,0.208,0.977
116,0.214,1.0461
117,0.219,1.01724
118,0.225,0.9161
119,0.231,0.98042
120,0.238,0.95555
121,0.245,0.93249
122,0.252,0.91807
123,0.261,0.82437
124,0.269,0.81208
125,0.279,0.79182
126,0.289,0.78883
127,0.299,0.77656
128,0.311,0.70676
129,0.323,0.69477
130,0.336,0.65035
131,0.35,0.6423
132,0.365,0.6289
133,0.382,0.57019
134,0.399,0.52375
135,0.464,0.40423
136,0.487,0.36398
137,0.511,0.33072
138,0.537,0.31588
139,0.565,0.3004
140,0.596,0.28353
141,0.628,0.27246
142,0.663,0.25002
143,0.701,0.23383
144,0.741,0.22154
145,0.784,0.20435
146,0.83,0.19121
147,0.88,0.17708
148,0.932,0.15858
149,0.982,0.14903
150,1.03,0.13779
151,1.079,0.12673
152,1.129,0.11596
153,1.181,0.10706
154,1.232,0.09651
155,1.283,0.08688
156,1.332,0.07827
157,1.378,0.07168
158,1.42,0.06388
159,1.457,0.05702
160,1.487,0.05061
161,1.509,0.04524
162,1.52,0.04017
163,1.52,0.03554
164,1.508,0.03137
165,1.482,0.0277
166,1.443,0.02468
167,1.39,0.02184
168,1.325,0.01938
169,1.247,0.01721
170,1.159,0.01527
171,1.06,0.0135
172,0.953,0.01204
173,0.843,0.00795
174,0.728,0.01003
175,0.61,0.00896
176,0.49,0.00814
177,0.368,0.0075
178,0.246,0.00709
179,0.123,0.00667
180,0,0.00605
